Aedoc	エドック
Agnes	アグネス
Arnold	アーノルド
Amalie	アマリー
Big Jorg	ビッグ・ヨルグ
Brigita	ブリギータ
Cecilia	セシリア
Claus	クラウス
Else	エルゼ
Endris	エンドリス
Ferenc	フェレンツ
Florian	フロリアン
Frantz	フランツ
Gernot	ゲルノット
Gertrude	ゲルトルート
Grett	グレット
Guy	ガイ
Piero	ピエロ
Thomas	トマス
Johan	ヨハン
Lijsbet	ライズベット
Lukas	ルーカス
Margarete	マルガレーテ
Marie	マリー
Martin	マルティン
Mathieu	マチュー
Matilda	マチルダ
Michlaus	ミヒラウス
Old Otto	オールド・オットー
Otto	オットー
Peter	ペテロ
Rutegar	ルテガル
Salomea	サロメア
Sebhat	セバト
Smokey	スモーキー
Ulrich	ウルリッヒ
Volkbert	ヴォルクベルト
Widow	ウィドウ
Wojslav	ヴォイスラフ
Lenhardt	レンハルト
Lorenz	ロレンツ
Illuminata	イルミナータ
Jacob	ヤコブ
Werner	ヴェルナー
Veronica	ヴェロニカ
Clara	クララ
Eva	エヴァ
Heddy	ヘディ
Kat	キャット
Lucky	ラッキー
Albertus Magnus	アルベルトゥス・マグヌス
Alexander	アレキサンダー
Anna	アンナ
Anton	アントン
Apollo	アポロ
Artemis	アルテミス
Baltasar	バルタザール
Benedicta	ベネディクタ
Benjamin	ベンジャミン
Bertholdt	ベルトルト
Black Til	ブラック・ティル
Brigita	ブリギータ
Caspar	キャスパー
Cecilia	セシリア
Christina	クリスティーナ
Clara	クララ
Esther	エステル
Eva	エヴァ
Fabian	ファビアン
Franziska	フランツィスカ
Gnaziu	グナジウ
Hanna	ハンナ
Hans	ハンス
Heddy	ヘディ
Ill Peter	イル・ペテロ
Illuminata	イルミナータ
Jacob	ヤコブ
Sepp	セップ
Jutta	ユッタ
Karl	カール
Kat	キャット
Kazimierz	カジミエシュ
Kilian	キリアン
Krafft	クラフト
Lady Solomea	サロメア婦人
Lenhardt	レンハルト
Lorenz	ロレンツ
Lucky	ラッキー
Lukas	ルーカス
Magdalene	マグダレネ
Margarete	マルガレーテ
Marie	マリー
Martha	マーサ
Martin	マルティン
Mathieu	マチュー
Matilda	マチルダ
Michlaus	ミヒラウス
Nikolas	ニコラス
Old Otto	オールド・オットー
Otto	オットー
Ötz	オッツ
Paul	パウロ
Peter	ペテロ
Piero	ピエロ
Rachel	レイチェル
Richart	リヒャルト
Rüdeger	リューデガー
Samuel	サミュエル
Sebhat	セバト
Simon	シモン
Smokey	スモーキー
Sophie	ソフィー
Thomas	トマス
Til	ティル
Ulrich	ウルリッヒ
Ulrike	ウルリケ
Ursula	ウルスラ
Vácslav	ヴァーツラフ
Veronica	ヴェロニカ
Volkbert	ヴォルクベルト
Walpurga	ワルプルガ
Werner	ヴェルナー
Widow	ウィドウ
Ottilia	オッティリア
Wojslav	ヴォイスラフ
Wolff	ヴォルフ
Ysabeau	イサボー
Zdena	ズデーニャ
Circator	巡回人
Compline	終課
Corpus Delicti	コーパスデリクティ
Es stultior merda	エス・スタルティオル・メルダ
in flagrante delicto	イン・フラグランテ・デリクト
Lauds	早課
lex talionis	目には目を
solus Christus	ソルス・クリストス
Vespers	晩課
Agricola	アグリコラ
Albertus Magnus	アルベルトゥス・マグヌス
Andromache	アンドロマケー
Benivieni	ベニヴィエニ
Aristotle	アリストテレス
Augustine	アウグスティヌス
Christine de Pizan	クリスティーヌ・ド・ピザン
Cicero	キケロ
Diana	ディアナ
Dioscorides	ディオスコリデス
Duke of Bavaria	バイエルン公爵
Dürer	デューラー
Erasmus	エラスムス
Euclid	ユークリッド
Father Matthias	マティアス神父
Ficino	フィチーノ
Fuggers	フッガー家
Gauls	ガリア人
Guild of Saint Luke	聖ルカ組合
Habsburgs	ハプスブルク家
HaShem	ハーシェム
Hildegard	ヒルデガルト
Huguenots	ユグノー
Jacobus de Voragine	ヤコブス・デ・ウォラギネ
John the Baptist	洗礼者ヨハネ
Juan GarcÍa de Basurto	フアン・ガルシア・デ・バスルト
Julius Caesar	ユリウス・カエサル
Lucretius	ルクレティウス
Lutherans	ルター派
Mars	マルス
Martin Luther	マルティン・ルター
Nero	ネロ
Niccolò Leoniceno	ニッコロ・レオニチェーノ
Origen	オリゲネス
Perchta	ペルヒタ
Perchten	ペルヒテン
Peter Abelard	ペテロ・アベラール
Philip Melanchthon	フィリップ・メランヒトン
Pliny the Elder	ガイウス・プリニウス・セクンドゥス
Prince-Bishop of Freising	フライジング司教
Raetians	ラエティア人
Rannig	ラニッヒ
Richard de Bury	リチャード・ド・ブリー
Saint Christopher	聖クリストファー
Saint Eligius	聖エリギウス
Saint Elizabeth	聖エリザベト
Saint Erasmus	聖エラスムス
Saint George	聖ゲオルギウス
Saint Hubert	聖フーベルト
Saint Luke	聖ルカ
Saint Maurice	聖モーリス
Saint Mauritius	聖モーリシャス
Saint Mortiz	サンモリッツ
Saint Nicholas of Myra	ミラの聖ニコラス
Saint Peter	聖ペテロ
Saint Roch	聖ロクス
Saint Satia	聖サティア
Saul	サウル
Swabian League	シュヴァーベン同盟
Tassia	タシア
Thomas Aquinas	トマス・アクィナス
Thrasymachus	トラシュマコス
William of Ockham	オッカムのウィリアム
Aachen	アーヘン
abattoir	屠殺場
Bavaria	バイエルン
Bologna	ボローニャ
Burgundy	ブルゴーニュ
Cologne	ケルン
Erfurt	エアフルト
Fulda	フルダ
Holy Roman Empire	神聖ローマ帝国
Innsbruck	インスブルック
London	ロンドン
Lugano	ルガーノ
Mainz	マインツ
Nuremberg	ニュルンベルク
Prague	プラハ
Rome	ローマ
Salzburg	ザルツブルク
Santa Margherita	サンタ・マルゲリータ
Seine	セーヌ川
Sion	シオン
Sorbonne	ソルボンヌ
Swabian League	シュヴァーベン同盟
synagogue	シナゴーグ
Tyrol	チロル
Valais	ヴァレー州
Venice	ヴェネツィア
Westphalia	ヴェストファーレン
Worms	ヴォルムス
Zaragoza	サラゴサ
Aeneid	アエネイス
Benedictine	ベネディクト修道院
bergfried	ベルクフリート
blood justice	血の正義
book of hours	時祷書
calefactory	暖房室
cantor	聖歌隊長
cellarer	飲食物管理者
ciborium	チボリウム
Consitutio Criminalis Bambergensis	バンベルク刑事裁判令
Corpus Hermeticum	ヘルメス文書
Council of Constance	コンスタンツ公会議
Cronica Clara	世界年代記
Dance of Death	死の舞踏
De bello Gallico	ガリア戦記
De herbis Cambriae	デ・ヘルビス・カンブリエ
De materia medica	薬物誌
diet	帝国議会
Divine Office	聖務日課
divine reading	レクチオ・ディヴィナ
Edict of Expulsion	アルハンブラ勅令
Eucharist	聖餐
galls	胆汁
Gulden	金貨
Hildegards Phyisca	ヒルデガルドの自然学
Historia de labyrintho librorum	ヒストリア・デ・ラビリント・リブローロム
Historia Tassiae	ヒストリア・タシエ
Holy Lance	聖槍
Imperial Road	帝国の道
In der Maur	インデルマウル
infirmarian	看護人
kitchener	料理人
Landhaus	民宿
Landsknecht	ランツクネヒト
Marienschrein	聖母マリアの聖遺物箱
Natural Law	自然法
ninety-five theses	95 か条の論題
Parzival	パルジファル
Perchtenlauf	ペルヒテンラウフ
Rathaus	ラートハウス
Reichspost	帝国郵便
Romansh	ロマンシュ語
sacristan	聖具保管担当者
Saint Johns Eve	聖ヨハネの前夜祭
scriptorium	写字室
sententia	格言
tabernacle	聖櫃
The Rule	聖ベネディクトの規則
Till Eulenspiegel	ティル・オイレンシュピーゲル
trivium and quadrivium	トリウィウムとクアドリウィウム
vehmic court	フェーメ裁判所
votive candle	献灯ロウソク
Wanderjahre	ワンダーヤーレ
Wild Hunt	ワイルドハント
